bbox_extent_m,bbox_max,bbox_min,bbox_volume_m3,centroid,classification,cluster_id,density_points_per_m3,distance_to_aruco_center_m,distance_to_main_centroid_m,point_count,point_percent_total,rank,selected_by_pipeline,source
"[1.016485, 0.582219, 0.67185]","[12.412208, 10.031038, 10.161986]","[11.395722, 9.448819, 9.490136]",0.397612,"[11.872387, 9.714397, 9.777515]",suelo / plano bajo,77,72.93534,17.602162,11.140352,29,0.032222,34,False,diagnostic_rederived
"[0.690329, 0.50125, 0.232449]","[-3.079963, 8.979322, -0.452575]","[-3.770292, 8.478072, -0.685024]",0.080434,"[-3.411931, 8.823214, -0.569295]",suelo / plano bajo,30,360.545318,9.214293,12.547141,29,0.032222,35,False,diagnostic_rederived
"[0.264557, 0.464602, 0.291783]","[9.985599, 12.278451, 1.311159]","[9.721042, 11.813848, 1.019376]",0.035864,"[9.840264, 12.067207, 1.164233]",suelo / plano bajo,35,780.724584,14.912956,9.670362,28,0.031111,36,False,diagnostic_rederived
"[0.709764, 0.604326, 0.127307]","[10.929064, -2.465722, 6.801942]","[10.219299, -3.070048, 6.674635]",0.054606,"[10.643687, -2.824725, 6.733466]",suelo / plano bajo,24,494.454478,12.620925,7.933913,27,0.03,37,False,diagnostic_rederived
"[0.254276, 0.447655, 0.279654]","[13.074917, 13.599794, 1.878636]","[12.820641, 13.15214, 1.598982]",0.031832,"[12.965024, 13.399454, 1.742333]",suelo / plano bajo,34,848.192475,18.022443,12.041252,27,0.03,38,False,diagnostic_rederived
"[0.895544, 0.400459, 0.362389]","[-1.559281, -6.940652, -0.582882]","[-2.454826, -7.341111, -0.945272]",0.129963,"[-2.080516, -7.118714, -0.809201]",suelo / plano bajo,19,207.751146,8.084471,13.98442,27,0.03,39,False,diagnostic_rederived
"[0.606561, 0.258845, 0.584999]","[8.938988, 16.076773, 4.012278]","[8.332427, 15.817927, 3.427279]",0.091848,"[8.633475, 15.941316, 3.748769]",suelo / plano bajo,62,283.076445,17.850516,13.256275,26,0.028889,40,False,diagnostic_rederived
"[0.479154, 0.471444, 0.267107]","[-5.099912, 12.869768, -0.525425]","[-5.579066, 12.398324, -0.792532]",0.060338,"[-5.360157, 12.551317, -0.672616]",suelo / plano bajo,87,430.906595,13.417455,16.180738,26,0.028889,41,False,diagnostic_rederived
"[0.635342, 0.252248, 0.209197]","[8.124128, -0.036736, 9.903034]","[7.488786, -0.288985, 9.693837]",0.033527,"[7.800776, -0.149814, 9.779451]",suelo / plano bajo,46,745.672898,12.221344,8.025351,25,0.027778,42,False,diagnostic_rederived
"[0.349429, 0.211373, 0.235779]","[13.230617, -0.345126, 6.868612]","[12.881187, -0.556498, 6.632833]",0.017415,"[13.048816, -0.475019, 6.778263]",suelo / plano bajo,23,1435.577348,14.295744,8.032474,25,0.027778,43,False,diagnostic_rederived
"[0.56195, 0.423221, 0.518544]","[-3.1019, 1.140644, 0.204067]","[-3.66385, 0.717423, -0.314477]",0.123325,"[-3.372333, 0.825595, 0.021873]",suelo / plano bajo,50,202.716808,3.886059,11.030018,25,0.027778,44,False,diagnostic_rederived
"[0.411523, 0.496135, 0.245889]","[-0.116522, 1.445448, -0.894803]","[-0.528045, 0.949312, -1.140692]",0.050203,"[-0.288533, 1.248238, -1.013873]",suelo / plano bajo,90,478.054576,1.486466,8.379973,24,0.026667,45,False,diagnostic_rederived
"[0.472846, 0.651305, 0.527604]","[-5.194426, 8.21003, -0.748265]","[-5.667272, 7.558725, -1.275869]",0.162484,"[-5.466614, 8.047791, -0.927178]",suelo / plano bajo,31,135.397575,9.665883,14.102327,22,0.024444,46,False,diagnostic_rederived
"[0.690033, 0.293473, 0.383387]","[12.285494, 8.634739, 7.915014]","[11.595461, 8.341266, 7.531628]",0.077638,"[12.098783, 8.481108, 7.680319]",suelo / plano bajo,76,270.48551,16.037991,9.169068,21,0.023333,47,False,diagnostic_rederived
"[0.396103, 0.402821, 0.33086]","[4.356644, -3.175446, -1.747272]","[3.960541, -3.578267, -2.078131]",0.052792,"[4.204591, -3.360643, -1.914359]",suelo / plano bajo,48,397.791298,5.682722,8.104347,21,0.023333,48,True,diagnostic_rederived
